neutral	oid	case_name	nw_cite	witnesses	status	notes	sample_context
2022 ND 135	19649	Hanson v. NDDOT	977 N.W.2d 312	1	HOLD_SINGLE		ing admissibility of Intoxilyzer test records. Hanson v. N.D. Dep’t of Transp., 2022 ND 135, ¶ 6, 97
2024 ND 128	19872	Fisher v. NDDOT	9 N.W.3d 645	1	HOLD_SINGLE		sion to suspend a person’s driving privileges. Fisher v. N.D. Dep’t of Transp., 2024 ND 128, ¶ 5, 9 
2023 ND 149	19738	Goff v. NDDOT	994 N.W.2d 190	1	HOLD_SINGLE		rect, and the position has a reasonable basis in law and fact.’” Goff v. Panos, 2023 ND 149, ¶ 10, 9
2024 ND 151	19898	Schweitzer v. State	10 N.W.3d 114	1	HOLD_SINGLE		, the result of the proceeding would have been different.” Schweitzer v. State, 2024 ND 151, ¶ 13, 1
2024 ND 117	19860	City of Grand Forks v. Riemers	8 N.W.3d 289	1	HOLD_SINGLE		whether instructions were acceptable); see also City of Grand Forks v. Riemers, 2024 ND 117, ¶ 14, 8
2019 ND 279	19425	Saastad v. Saastad	935 N.W.2d 776	1	HOLD	WINDOW:NO_WINDOW	evant best interest factors under N.D.C.C. § 14-09-06.2(1). Saastad v. Saastad, 2019 ND 279, ¶ 6, 93
2019 ND 289	19435	State ex rel. City of Marion v. Alber	936 N.W.2d 52	1	HOLD_SINGLE		". § 32-06-02, and N.D.C.C. ch. 32-05."" *State ex rel. City of Marion v. Alber*, 2019 ND 289, ¶ 10, 9"
2020 ND 81	19571	Johnson v. City of Burlington	942 N.W.2d 816	1	HOLD_SINGLE		vernment is available in limited circumstances); Johnson v. City of Burlington, 2020 ND 81, ¶ 22, 94
2024 ND 194	19945	Interest of D.K.A.	13 N.W.3d 133	1	HOLD	WINDOW:NO_WINDOW	of which the district court could take judicial notice. See Interest of D.K.A., 2024 ND 194, ¶ 6, 13
2021 ND 226	19619	State v. Brown	967 N.W.2d 797	1	HOLD_SINGLE		s a screening tool to determine whether probable cause exists.” State v. Brown, 2021 ND 226, ¶ 7, 96
2025 ND 13	20110	Juneau v. State	16 N.W.3d 229	1	HOLD	WINDOW:NO_WINDOW	a defendant knowingly and voluntarily enters a guilty plea.’” Juneau v. State, 2025 ND 13, ¶ 14, 16 
2025 ND 36	20243	Guardianship and Conservatorship of G.I.	17 N.W.3d 569	1	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	struing the trust agreement is to ascertain the grantors’ intent. In re G.I.C., 2025 ND 36, ¶ 13, 17
2019 ND 293	19439	Lindstrom v. N.D. Dep't of Transportatio	936 N.W.2d 42	1	HOLD_SINGLE		e its judgment for that of the Department.” Lindstrom v. N.D. Dep't of Transp., 2019 ND 293, ¶ 4, 93
2024 ND 37	20007	Weber v. NDDOT	4 N.W.3d 238	1	HOLD_SINGLE		405 N.W.2d 285, 290 (N.D. 1987) (applying predecessor statute); Weber v. Henke, 2024 ND 37, ¶ 7, 4 N
2025 ND 19	20176	Gooss v. A.K.	16 N.W.3d 439	1	HOLD	WINDOW:NO_WINDOW	otality of the circumstances must be considered in all cases’).” Gooss v. A.K., 2025 ND 19, ¶ 14, 16
2024 ND 24	19993	Sherwood v. Sherwood	2 N.W.3d 640	1	HOLD_SINGLE		motion frivolous under the abuse of discretion standard. Sherwood v. Sherwood, 2024 ND 24, ¶ 24, 2 N
2024 ND 25	19994	Don's Garden Center, et al. v. The Garde	2 N.W.3d 646	1	HOLD_SINGLE		lies the law.’” Id. ¶ 15 (quoting Don’s Garden Ctr., Inc. v. Garden Dist. Inc., 2024 ND 25, ¶ 10, 2 
2025 ND 31	20238	Bullinger v. Sundog Interactive, Inc., e	17 N.W.3d 589	1	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	w, which is fully reviewable on appeal.” Bullinger v. Sundog Interactive, Inc., 2025 ND 31, ¶ 6, 17 
2025 ND 61	20271	Jones v. Jones	18 N.W.3d 847	1	HOLD	WINDOW:NO_WINDOW	luation of marital property unless they are clearly erroneous.” Jones v. Jones, 2025 ND 61, ¶ 16, 18
2022 ND 156	19668	Great Plains Royalty Corp. v. Earl Schwa	978 N.W.2d 715	1	HOLD	WINDOW:NO_WINDOW	he clearly erroneous standard. Great Plains Royalty Corp. v. Earl Schwartz Co., 2022 ND 156, ¶ 13, 9
2024 ND 129	19873	Hovet, et al. v. Dahl, et al.	9 N.W.3d 699	1	HOLD_SINGLE		e premises actually occupied and no other.” N.D.C.C. § 28-01-10; Hovet v. Dahl, 2024 ND 129, ¶ 7, 9 
2025 ND 58	20267	Matter of Didier	18 N.W.3d 827	1	HOLD	WINDOW:NO_WINDOW	ourt misapplied N.D. Admin. Rule 52 in several ways. [¶6] In Matter of Didier, 2025 ND 58, ¶ 7, 18 N
2025 ND 62	20272	Hoff v. City of Burlington	18 N.W.3d 898	1	HOLD	WINDOW:NO_WINDOW	court has broad discretion on evidentiary matters. Hoff v. City of Burlington, 2025 ND 62, ¶ 15, 18 
2025 ND 83	20295	State v. Burton	20 N.W.3d 136	1	HOLD	WINDOW:NO_WINDOW	will not be reversed on appeal absent an abuse of discretion.” State v. Burton, 2025 ND 83, ¶ 18, 20
2024 ND 52	20024	Whitetail Wave v. XTO Energy, et al.	5 N.W.3d 526	1	HOLD_SINGLE		fect distribution of royalty payments.” Whitetail Wave LLC v. XTO Energy, Inc., 2024 ND 52, ¶ 16, 5 
2024 ND 137	19882	Dorchester Minerals v. Hess Bakken Inves	9 N.W.3d 657	1	HOLD_SINGLE		and the judgment entered. Dorchester Mins., L.P. v. Hess Bakken Invs. II, LLC, 2024 ND 137, ¶ 24, 9 
2024 ND 176	19925	Disciplinary Board v. Merkens (interim S	11 N.W.3d 849	1	HOLD	WINDOW:NO_WINDOW	l disposition of this disciplinary proceeding. See Disciplinary Bd. v. Merkens, 2024 ND 176, 11 N.W.
2025 ND 94	20307	Nagle v. Nagle	20 N.W.3d 699	1	HOLD	WINDOW:NO_WINDOW	t with a definite and firm conviction a mistake has been made.” Nagle v. Nagle, 2025 ND 94, ¶ 11, 20
2025 ND 82	20294	Western Equipment Finance v. Sergei Tuma	20 N.W.3d 103	1	HOLD	WINDOW:NO_WINDOW	ts and attorney’s fees is proper.” W. Equip. Fin. v. Sergei Tumas Prods., Inc., 2025 ND 82, ¶ 5, 20 
2024 ND 206	19959	Olson v. Olson, et al.	13 N.W.3d 756	1	HOLD	WINDOW:NO_WINDOW	icient evidence supported the determination of great prejudice. Olson v. Olson, 2024 ND 206, ¶ 25, 1
2025 ND 76	20287	K.L.T., et al. v. NDDHHS	19 N.W.3d 798	1	HOLD	WINDOW:NO_WINDOW	he issues before the district court.” K.L.T. v. Exec. Dir. of Hum. Serv. Dep’t, 2025 ND 76, ¶ 6, 19 
2019 ND 245	19391	Ramirez v. Houge, et al.	933 N.W.2d 468	1	HOLD	WINDOW:NO_WINDOW	gle or double costs, including reasonable attorney’s fees.”); Ramirez v. Houge, 2019 ND 245, ¶ 2, 93
2015 ND 25	19093	Haugen v. Simmons	861 N.W.2d 172	1	HOLD_SINGLE	SHARED:['2015 ND 22', '2015 ND 25', '2015 ND 27', '2015 ND 48', '2015 ND 49', '2015 ND 51', '2015 ND 53', '2015 ND 54']	fees.”); Ramirez v. Houge, 2019 ND 245, ¶ 2, 933 N.W.2d 468; Haugen v. Simmons, 2015 ND 25, ¶ 1, 861
2025 ND 55	20264	Byrd v. State	18 N.W.3d 836	1	HOLD	WINDOW:NO_WINDOW	aded guilty “to both a cognizable and a non-cognizable offense.” Byrd v. State, 2025 ND 55, ¶ 15, 18
2024 ND 134	19879	State v. Lane	9 N.W.3d 713	1	HOLD_SINGLE		pellate review and we only examine the record for obvious error. State v. Lane, 2024 ND 134, ¶¶ 2-3,
2024 ND 66	20039	State v. Freeman	5 N.W.3d 517	1	HOLD_SINGLE		fundamental defect exists or manifest injustice would occur. State v. Freeman, 2024 ND 66, ¶ 7, 5 N.
2024 ND 38	20008	Archambault v. State	4 N.W.3d 312	1	HOLD	CONFLICT:['4 N.W.3d 212', '4 N.W.3d 312']	“clean” laptop to the jury room, for the review of evidence, was not an error. 2024 ND 38, ¶ 18, 4 N
2024 ND 48	20019	State v. Driver	4 N.W.3d 551	1	HOLD_SINGLE		the jury’s deliberations. Weisz, 2002 ND 207, ¶¶ 7-8; see also State v. Driver, 2024 ND 48, ¶ 8, 4 N
2024 ND 231	19987	State v. Eagleman	14 N.W.3d 91	1	HOLD	CONFLICT:['14 N.W.3d 91', '14 N.W.3d 912'];WINDOW:NO_WINDOW	stating illegal sentences shall be corrected “at any time”); State v. Eagleman, 2024 ND 231, ¶ 6, 14
2024 ND 33	20003	State v. Rinde	3 N.W.2d 165	1	HOLD	CONFLICT:['3 N.W.2d 165', '3 N.W.3d 165'];WINDOW:OUT[1941-12-13..1942-05-06]	y sentence that was available during the original sentencing”); State v. Rinde, 2024 ND 33, ¶¶ 8-9, 
2025 ND 38	20245	Peterka v. Janda, et al.	17 N.W.3d 558	1	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	ding immaterial misstatements in the lower court’s decision.” Peterka v. Janda, 2025 ND 38, ¶ 9, 17 
2025 ND 26	20232	Access Independent Health Services, Inc.	16 N.W.3d 902	1	HOLD	WINDOW:NO_WINDOW	ourt, which was denied in Access Independent Health Services., Inc. v. Wrigley, 2025 ND 26, 16 N.W.3
2025 ND 167	20151	State v. Jemal	26 N.W.3d 667	1	HOLD	WINDOW:NO_WINDOW	ation violations when deciding whether revocation is warranted. State v. Jemal, 2025 ND 167, ¶ 9, 26
2025 ND 127	20107	Interest of I.F.	23 N.W.2d 718	1	HOLD	CONFLICT:['23 N.W.2d 718', '23 N.W.3d 718'];WINDOW:OUT[1946-04-15..1946-08-01]	s discretion, but is not required, to terminate parental rights.” Int. of B.F., 2025 ND 127, ¶ 13, 2
2025 ND 174	20159	State v. King	26 N.W.3d 695	1	HOLD	WINDOW:NO_WINDOW	as-applied challenge to the constitutionality of a law de novo. State v. King, 2025 ND 174, ¶ 4, 26 
2025 ND 143	20125	State v. Hendricks	24 N.W.3d 925	1	HOLD	WINDOW:NO_WINDOW	al, the defendant does not preserve that issue for review.” State v. Hendricks, 2025 ND 143, ¶ 4, 24
2022 ND 157	19669	State v. Pulkrabek (consolidated with 20	978 N.W.2d 659	1	HOLD	WINDOW:NO_WINDOW	ce might derogate from the accused’s right to a fair trial. State v. Pulkrabek, 2022 ND 157, ¶ 14, 9
2025 ND 28	20234	Interest of B.V.	17 N.W.3d 549	1	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	codified in N.D.C.C. ch. 27-19.1, requires specific findings. Interest of B.V., 2025 ND 28, ¶ 11, 17
2025 ND 165	20149	Rugland v. State	26 N.W.3d 686	1	HOLD	WINDOW:NO_WINDOW	case by addressing only one prong it is encouraged to do so.” Rugland v. State, 2025 ND 165, ¶ 1, 26
2024 ND 149	19895	Durr v. Volden, et al.	10 N.W.3d 133	1	HOLD_SINGLE		tten instrument authorizing a person to act as another’s agent. Durr v. Volden, 2024 ND 149, ¶ 12, 1
2025 ND 154	20137	State v. Benter	25 N.W.3d 800	1	HOLD	WINDOW:NO_WINDOW	jurisdictional, and cannot be waived by the appellate court.” State v. Benter, 2025 ND 154, ¶ 3, 25 
2025 ND 195	20182	Clemenson v. Clemenson, et al.	27 N.W.3d 716	1	HOLD	WINDOW:NO_WINDOW	mmaterial misstatements in the lower court’s decision.” Clemenson v. Clemenson, 2025 ND 195, ¶ 16, 2
2025 ND 4	20247	Poseley v. Homer Township, et al.	16 N.W.3d 161	1	HOLD	WINDOW:NO_WINDOW	is Court does not consider issues that are not briefed.” Poseley v. Homer Twp., 2025 ND 4, ¶ 3, 16 N
2025 ND 170	20155	Williamson v. Williamson	26 N.W.3d 680	1	HOLD	WINDOW:NO_WINDOW	n assessment of costs and attorney’s fees is proper.” Williamson v. Williamson, 2025 ND 170, ¶ 4, 26
2020 ND 247	19533	State v. Conry	951 N.W.2d 226	1	HOLD_SINGLE		cussed in Schaff are not present in N.D.C.C. § 29-28-06(5). See State v. Conry, 2020 ND 247, ¶ 9, 95
2025 ND 73	20284	State v. Ali	19 N.W.3d 801	1	HOLD	WINDOW:NO_WINDOW	)(2) to protect against disputes regarding conditional pleas. See State v. Ali, 2025 ND 73, ¶ 7, 19 
2022 ND 235	19692	Interest of N.L. (CONFIDENTIAL) (consoli	982 N.W.2d 857	1	HOLD_SINGLE		jurisdiction is a question of law, which we review de novo.” Interest of N.L., 2022 ND 235, ¶ 11, 98
2025 ND 176	20161	Hernandez v. State	26 N.W.3d 703	1	HOLD	WINDOW:NO_WINDOW	to provide some competent evidence to support his claims.” Hernandez v. State, 2025 ND 176, ¶ 2, 26 
2025 ND 108	20086	State v. Landsberger	22 N.W.3d 722	1	HOLD	WINDOW:NO_WINDOW	[¶33] “Jury instructions are fully reviewable on appeal.” State v. Landsberger, 2025 ND 108, ¶ 4, 22
2025 ND 78	20289	State v. Ziegler	20 N.W.3d 131	1	HOLD	WINDOW:NO_WINDOW	"will be reversed on appeal only for an abuse of discretion."" State v. Ziegler, 2025 ND 78, ¶ 9, 20 N"
2025 ND 198	20185	Johnson v. Staiger	27 N.W.3d 692	1	HOLD	WINDOW:NO_WINDOW	not automatically mandate a finding of material change. See Johnson v. Staiger, 2025 ND 198, ¶ 16, 2
2025 ND 128	20108	Bazile v. State	23 N.W.3d 770	1	HOLD	WINDOW:NO_WINDOW	based on newly discovered evidence under N.D.R.Crim.P. 33[.]” Bazile v. State, 2025 ND 128, ¶ 9, 23 
2022 ND 137	19651	Brock James Baker v. LuAnn Erickson aka 	977 N.W.2d 316	1	HOLD_SINGLE		mply with the specific requirements for service of process.” Baker v. Erickson, 2022 ND 137, ¶ 11, 9
2024 ND 202	19955	Sanderson v. Myrdal, et al.	13 N.W.3d 739	1	HOLD	WINDOW:NO_WINDOW	not later challenge that court’s personal jurisdiction[.]” Sanderson v. Myrdal, 2024 ND 202, ¶ 8, 13
2024 ND 123	19867	Kubal v. Anderson	8 N.W.3d 811	1	HOLD_SINGLE		ed for clear error and the legal questions reviewed de novo. Kubal v. Anderson, 2024 ND 123, ¶ 5, 8 
2025 ND 178	20163	State v. Chambers	26 N.W.3d 700	1	HOLD	WINDOW:NO_WINDOW	s ‘prejudicial, or affected the outcome of the proceeding.’” State v. Chambers, 2025 ND 178, ¶ 7, 26
2025 ND 6	20269	Reile v. WSI, et. al.	16 N.W.3d 212	1	HOLD	WINDOW:NO_WINDOW	lly reviewable on appeal.” Reile v. State by & through Workforce Safety & Ins., 2025 ND 6, ¶ 13, 16 
2025 ND 140	20122	Interest of A.W.	23 N.W.3d 925	1	HOLD	WINDOW:NO_WINDOW	s the party believes would be useful to the court”); see also Interest of A.W., 2025 ND 140, ¶ 8, 23
2025 ND 40	20248	Kingstone v. Tedrow Kingstone	17 N.W.3d 596	1	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	findings and a redetermination on whether the upward deviation was appropriate. 2025 ND 40, ¶ 55, 17
2024 ND 153	19900	State v. Reiswig	10 N.W.3d 587	1	HOLD_SINGLE		same standard we use to review a motion to suppress evidence. State v. Reiswig, 2024 ND 153, ¶ 7, 10
2024 ND 142	19888	State v. Ritter	10 N.W.3d 119	1	HOLD_SINGLE		feces and urine. Reviewing for abuse of discretion, see, e.g., State v. Ritter, 2024 ND 142, ¶ 11, 1
2024 ND 188	19938	Curtis v. Curtis, et al.	12 N.W.3d 825	1	HOLD	WINDOW:NO_WINDOW	consider the merits of an appeal, we must have jurisdiction.” Curtis v. Curtis, 2024 ND 188, ¶ 5, 12
2020 ND 187	19508	Muhlbradt, et al. v. Pederson, et al.	947 N.W.2d 922	1	HOLD_SINGLE		law. “Questions of law are fully reviewable on appeal.” Muhlbradt v. Pederson, 2020 ND 187, ¶ 8, 947
2024 ND 86	20061	Glaum v. State	6 N.W.3d 1	1	HOLD	CONFLICT:['6 N.W.3d 1', '6 N.W.3d 603']	ws a vexatious litigant designation for an abuse of discretion. Glaum v. State, 2024 ND 86, ¶ 15, 6 
2025 ND 190	20177	State v. Wallette	27 N.W.3d 441	1	HOLD	WINDOW:NO_WINDOW	missible factor in determining the severity of the sentence. State v. Wallette, 2025 ND 190, ¶ 8, 27
2025 ND 197	20184	State v. Vetter	27 N.W.3d 687	1	HOLD	WINDOW:NO_WINDOW	the application of the mandatory minimum in the judgment. See State v. Vetter, 2025 ND 197, ¶ 15, 27
2025 ND 187	20173	Overton v. Overton	27 N.W.3d 469	1	HOLD	WINDOW:NO_WINDOW	unity for a hearing appropriate to the nature of the case.” Overton v. Overton, 2025 ND 187, ¶ 5, 27
2025 ND 142	20124	Anne Carlsen Center v. LeFevre, et al.	24 N.W.3d 360	1	HOLD	WINDOW:NO_WINDOW	on, abdicated its gatekeeping responsibility. See Anne Carlsen Ctr. v. LeFevre, 2025 ND 142, ¶ 10, 2
2023 ND 122	19724	Interest of C.A.S.	993 N.W.2d 347	1	HOLD_SINGLE		s following entry of an order terminating parental rights.” Interest of C.A.S., 2023 ND 122, ¶ 3, 99
2024 ND 74	20048	State v. Fuglesten	5 N.W.3d 809	1	HOLD_SINGLE		and resolve conflicts in testimony in favor of affirmance.” State v. Fuglesten, 2024 ND 74, ¶ 8, 5 N
2025 ND 48	20256	Anderson v. Foss, et al.	20 N.W.3d 664	1	HOLD	WINDOW:NO_WINDOW	eigh the evidence nor reassess the credibility of witnesses.” Anderson v. Foss, 2025 ND 48, ¶ 27, 20
2023 ND 120	20503	Goetz v. Goetz, et al.	993 N.W.2d 350	1	HOLD_SINGLE		rt’s findings after remand, we reversed the amended judgment in Goetz v. Goetz, 2023 ND 120, ¶ 1, 99
2025 ND 139	20120	Juliuson v. Johnson, et al.	24 N.W.3d 385	1	HOLD	WINDOW:NO_WINDOW	N.D.R.Civ.P. 59. Juliuson v. Johnson, Tr. of Barbara R. Johnson Revocable Tr., 2025 ND 139, ¶ 11, 24
2024 ND 155	19902	Timothy Morales v. Weatherford U.S., L.P	10 N.W.3d 551	1	HOLD	WINDOW:OUT[2024-08-14..2024-08-14]	espect to those who enter the property.” See Morales v. Weatherford U.S., L.P., 2024 ND 155, ¶ 7, 10
2024 ND 111	19854	Mohammed v. State	7 N.W.3d 307	1	HOLD	WINDOW:NO_WINDOW	the order denying his application, and this Court affirmed. Mohammed v. State, 2024 ND 111, 7 N.W.3d
2025 ND 125	20105	Gomez v. State	23 N.W.3d 728	1	HOLD	WINDOW:NO_WINDOW	the evidence must be material to the issues at trial. Id. ¶ 12; Gomez v. State, 2025 ND 125, ¶ 9, 23
2025 ND 216	20206	Estate of Lepp	29 N.W.3d 566	1	HOLD	WINDOW:NO_WINDOW	), N.D.R.Civ.P., if applicable, must be complied with.” Matter of Est. of Lepp, 2025 ND 216, ¶ 13, 2
2024 ND 115	19858	State v. Anderson	8 N.W.3d 323	1	HOLD_SINGLE		te v. Marsolek, 2021 ND 175, ¶ 10, 964 N.W.2d 730); see also State v. Anderson, 2024 ND 115, ¶ 8, 8 
2024 ND 195	19946	Tracy v. Tracy	13 N.W.3d 105	1	HOLD	WINDOW:NO_WINDOW	imminent domestic violence by a preponderance of the evidence.” Tracy v. Tracy, 2024 ND 195, ¶ 4, 13
2026 ND 3	20335	Rangel v. State	30 N.W.3d 343	1	HOLD	WINDOW:NO_WINDOW	ion for summary disposition under N.D.R.App.P. 35.1(a)(6). See Rangel v. State, 2026 ND 3, ¶ 3, 30 N
2026 ND 37	20343	Interest of D.G.	31 N.W.3d 652	1	HOLD	WINDOW:NO_WINDOW	al rights proceedings and the court’s findings were insufficient. Int. of D.G., 2026 ND 37, ¶ 7, 31 
2023 ND 136	19733	Redpaint v. State	993 N.W.2d 511	1	HOLD_SINGLE		hin an exception to the two-year statute of limitations. See Redpaint v. State, 2023 ND 136, ¶ 4, 99
2026 ND 51	20359	Bedgar v. Wilson, et al.	32 N.W.3d 296	1	HOLD	WINDOW:NO_WINDOW	ict court has broad discretion in making contempt decisions.” Bedgar v. Wilson, 2026 ND 51, ¶ 13, 32
2025 ND 50	20259	Zent v. NDDHHS	18 N.W.3d 621	1	HOLD	WINDOW:NO_WINDOW	y’s decision. N.D.C.C. § 28-32-49.” Zent v. N.D. Dep’t of Health & Hum. Servs., 2025 ND 50, ¶ 16, 18
2025 ND 228	20219	Wardner v. Porath, et al.	29 N.W.3d 885	1	HOLD	WINDOW:NO_WINDOW	ve pointed us to them or argued a particular construction.’” Wardner v. Porath, 2025 ND 228, ¶ 20, 2
2026 ND 52	20360	Meridian Property Management v. Cordie, 	32 N.W.3d 308	1	HOLD	WINDOW:NO_WINDOW	the opportunity to address the issue. See Meridian Prop. Mgmt., LLC v. Cordie, 2026 ND 52, ¶ 19, 32 
2024 ND 226	19981	Cass Co. v. KNB Properties, et al.	14 N.W.3d 914	1	HOLD	WINDOW:NO_WINDOW	t’l Res., Inc., 2025 ND 131, ¶ 55, 23 N.W.3d 895; Cass Cnty. v. KNB Props. LLC, 2024 ND 226, ¶ 19, 1
2026 ND 53	20361	Goetz v. Goetz, et al.	32 N.W.3d 354	1	HOLD	WINDOW:NO_WINDOW	t with a definite and firm conviction a mistake has been made.” Goetz v. Goetz, 2026 ND 53, ¶ 6, 32 
2025 ND 213	20203	Kolstad v. Claussen	29 N.W.3d 613	1	HOLD	WINDOW:NO_WINDOW	do not reweigh evidence or reassess witness credibility.” Kolstad v. Claussen, 2025 ND 213, ¶ 22, 29
2026 ND 36	20342	Vetter v. Vetter, et al.	31 N.W.3d 662	1	HOLD	WINDOW:NO_WINDOW	fact and will not be reversed unless it is clearly erroneous. Vetter v. Vetter, 2026 ND 36, ¶ 9, 31 
2025 ND 206	20195	MidFirst Bank v. Young, et al.	29 N.W.3d 253	1	HOLD	WINDOW:NO_WINDOW	strict access to court records for abuse of discretion. MidFirst Bank v. Young, 2025 ND 206, ¶ 16, 2
2026 ND 8	20381	State v. Olson	30 N.W.3d 701	1	HOLD	WINDOW:NO_WINDOW	d determination, or if it misinterprets or misapplies the law.” State v. Olson, 2026 ND 8, ¶ 18, 30 
2025 ND 137	20118	Rademacher v. State	23 N.W.3d 915	1	HOLD	WINDOW:NO_WINDOW	rr in denying Brooks’s petition for postconviction relief. Rademacher v. State, 2025 ND 137, ¶ 5, 23
2026 ND 21	20326	Adoption of M.L.P.	31 N.W.3d 286	1	HOLD	WINDOW:NO_WINDOW	rove all statutory elements by clear and convincing evidence. S.L.W. v. C.M.T., 2026 ND 21, ¶ 3, 31 
2022 ND 37	19699	Lovett v. Lovett, et al.	970 N.W.2d 193	1	HOLD_SINGLE		contrary to law. Because we do not render advisory opinions, Lovett v. Lovett, 2022 ND 37, ¶¶ 11-12,
2026 ND 63	20372	Bobcat of Mandan v. Doosan Bobcat North 	32 N.W.3d 316	1	HOLD	WINDOW:NO_WINDOW	947 N.W.2d 910); see also Bobcat of Mandan, Inc. v. Doosan Bobcat N. Am., Inc., 2026 ND 63, ¶ 23, 32
2023 ND 172	19758	Discover Bank v. Romanick, et al.	996 N.W.2d 314	1	HOLD_SINGLE		en v. Rustad, 2012 ND 242, ¶ 5, 823 N.W.2d 767); see Discover Bank v. Romanick, 2023 ND 172, ¶ 4, 99
2025 ND 196	20183	Diop v. Altepeter, et al.	27 N.W.3d 704	1	HOLD	WINDOW:NO_WINDOW	] “This Court does not address inadequately briefed issues.” Diop v. Altepeter, 2025 ND 196, ¶ 3, 27
2026 ND 34	20340	City of Dickinson v. Helgeson	31 N.W.3d 672	1	HOLD	WINDOW:NO_WINDOW	ther irrelevant, fictitious, or nonexistent. See City of Dickinson v. Helgeson, 2026 ND 34, ¶¶ 16, 1
2026 ND 57	20365	Kantola v. Kantola	32 N.W.3d 324	1	HOLD	WINDOW:NO_WINDOW	uble costs and attorney’s fees in the amount of $1,000. See Kantola v. Kantola, 2026 ND 57, ¶ 3, 32 
2025 ND 164	20148	Interest of Hoff	26 N.W.3d 552	1	HOLD	WINDOW:NO_WINDOW	s of fact to permit appellate review under the Crane factor.” Interest of Hoff, 2025 ND 164, ¶ 12, 2
2026 ND 40	20347	Haskell v. Grand Forks Public Schools	31 N.W.3d 626	1	HOLD	WINDOW:NO_WINDOW	mera review for an abuse of discretion. Haskell v. Grand Forks Pub. Sch. Dist., 2026 ND 40, ¶ 27, 31
2022 ND 65	19705	St. Alexius Medical Center v. Nesvig, et	971 N.W.3d 878	1	HOLD	CONFLICT:['971 N.W.2d 878', '971 N.W.3d 878'];WINDOW:NO_WINDOW	Rsrv. Fund, 2023 ND 132, ¶ 6, 993 N.W.2d 519; St. Alexius Med. Ctr. v. Nesvig, 2022 ND 65, ¶¶ 22-23,
2018 ND 46	19314	State v. Groce	907 N.W.2d 761	1	HOLD	WINDOW:NO_WINDOW	ion on a motion to quash a subpoena for an abuse of discretion. State v. Groce, 2018 ND 46, ¶ 6, 907
2026 ND 48	20355	State v. Davis	31 N.W.3d 890	1	HOLD	WINDOW:NO_WINDOW	al because Baker does not assert an obvious error occurred. See State v. Davis, 2026 ND 48, ¶ 6, 31 
2025 ND 45	20253	Hoistad v. NDDOT	17 N.W.3d 811	1	HOLD	WINDOW:OUT[2024-02-14..2024-02-14]	ortation’s decision to suspend a person’s driving privileges. Hoistad v. Henke, 2025 ND 45, ¶ 6, 17 
2026 ND 6	20368	Ziemann v. Grosz	30 N.W.3d 344	1	HOLD	WINDOW:NO_WINDOW	, the district court must follow directions from this Court.” Ziemann v. Grosz, 2026 ND 6, ¶ 7, 30 N
2024 ND 73	20047	Berdahl v. Berdahl	5 N.W.3d 778	1	HOLD_SINGLE		iality.” Edison v. Edison, 2024 ND 196, ¶ 9, 13 N.W.3d 110; Berdahl v. Berdahl, 2024 ND 73, ¶ 8, 5 N
2026 ND 59	20367	Mohammed v. State	32 N.W.3d 303	1	HOLD	WINDOW:NO_WINDOW	ppears beyond doubt that no set of facts supports the claim. Mohammed v. State, 2026 ND 59, ¶ 5, 32 
2024 ND 156	19903	Fiebiger v. Anderson	10 N.W.3d 547	1	HOLD_SINGLE		tion of law which we review de novo on the entire record. Fiebiger v. Anderson, 2024 ND 156, ¶ 6, 10
2026 ND 1	20313	Pederson v. State	30 N.W.3d 319	1	HOLD	WINDOW:NO_WINDOW	and reach different conclusions from the undisputed facts.” Pederson v. State, 2026 ND 1, ¶ 21, 30 N
2025 ND 201	20190	State v. Bell	29 N.W.3d 270	1	HOLD	WINDOW:NO_WINDOW	a finding of fact meets a legal standard is a question of law.” State v. Bell, 2025 ND 201, ¶ 6, 29 
2026 ND 39	20345	State v. Reese	31 N.W.3d 644	1	HOLD	WINDOW:NO_WINDOW	statutes against the government and in favor of the defendant.” State v. Reese, 2026 ND 39, ¶ 10, 31
2025 ND 95	20308	ICON HD v. National Sports Opportunity P	20 N.W.3d 711	1	HOLD	WINDOW:NO_WINDOW	ties or their privies.” ICON HD, LLC v. Nat'l Sports Opportunity Partners, LLC, 2025 ND 95, ¶ 6, 20 
2024 ND 201	19954	Fargo Education Association v. Fargo Pub	13 N.W.3d 749	1	HOLD	WINDOW:NO_WINDOW	acted and the legislative history.” Fargo Educ. Ass’n v. Fargo Pub. Sch. Dist., 2024 ND 201, ¶ 9, 13
2023 ND 237	19807	Shift Services v. Ames Savage Water Solu	999 N.W.2d 210	1	HOLD_SINGLE		party holding the debt. See Shift Servs., LLC v. Ames Savage Water Sols., LLC, 2023 ND 237, ¶ 9, 999
2024 ND 163	19911	Bolinske v. Sandstrom, et al.	10 N.W.3d 770	1	HOLD_SINGLE		and attorney’s fees if it finds the claim is frivolous.” Bolinske v. Sandstrom, 2024 ND 163, ¶ 16, 1
